03200845,5,407,OAK,LAS
03200845,5,737,STL,BWI
03200845,8,323,SDF,BHM
03200848,-15,670,BNA,HOU
03200850,-12,925,FLL,BWI
03200850,-16,251,STL,MDW
03200850,-3,777,MDW,BDL
03200850,-7,220,BWI,ISP
03200850,11,765,MDW,ISP
03200850,5,189,DAL,AUS
03200855,-2,187,CRP,HOU
03200855,-2,390,RNO,LAX
03200855,-2,588,BNA,BWI
03200855,-25,937,MDW,HOU
03200855,-3,697,SJC,SEA
03200855,-7,303,MSY,HOU
03200855,-7,308,SJC,LAX
03200855,-7,838,MDW,MHT
03200855,-8,233,SAT,HRL
03200855,-9,405,MDW,MCI
03200855,0,480,SMF,SAN
03200855,9,1090,LAS,AUS
03200855,9,373,SMF,LAX
03200855,9,395,MDW,BNA
03200858,8,189,AUS,DAL
03200900,-10,246,MAF,ELP
03200900,-11,389,SMF,ONT
03200900,-12,337,LAX,OAK
03200900,-14,256,PHX,LAS
03200900,-3,148,HOU,AUS
03200900,-3,255,BWI,RDU
03200900,-4,288,BWI,ALB
03200900,-4,520,BOI,LAS
03200900,-5,239,HOU,DAL
03200900,-5,487,TPA,MSY
03200900,-5,544,MDW,LIT
03200900,-7,248,DAL,SAT
03200900,0,361,OAK,ONT
03200900,10,397,LAS,SMF
03200900,15,1624,LAS,SDF
03200900,15,859,ISP,JAX
03200900,18,484,BNA,JAX
03200900,2,338,BNA,CMH
03200900,2,370,PHX,LAX
03200900,20,1034,ISP,TPA
03200900,5,181,DAL,OKC
03200900,5,239,DAL,HOU
03200900,5,328,ABQ,PHX
03200900,5,446,OAK,SAN
03200905,-10,368,SLC,LAS
03200905,-13,628,ABQ,SAN
03200905,-2,254,STL,SDF
03200905,-2,487,MSY,TPA
03200905,-20,687,STL,HOU
03200905,-5,192,HOU,SAT
03200905,-5,192,SAT,HOU
03200905,-5,528,AUS,ELP
03200905,-8,296,LIT,DAL
03200905,1,444,PDX,RNO
03200905,8,759,HOU,ABQ
03200909,21,236,LAX,LAS
03200910,-11,304,PHX,SAN
03200910,-11,361,ONT,OAK
03200910,-15,1442,SMF,MCI
03200910,-15,1751,BNA,SAN
03200910,-2,371,OAK,SNA
03200910,-28,1671,MSY,LAX
03200910,-3,293,LBB,DAL
03200910,-3,440,DTW,STL
03200910,-5,223,ELP,ABQ
03200910,-7,347,ELP,PHX
03200910,0,410,STL,BHM
03200910,14,370,LAX,PHX
03200914,-4,276,HRL,HOU
03200915,-10,395,BNA,MDW
03200915,-13,1137,TPA,PVD
